content	score	business	avgstars
It was just okay. I guess being an L.A. native and making trips to K-Town for some awesome Korean BBQ really set the bar. This place has limited items, compared to other Korean BBQ joints back in L.A. The price also appeared to be unreasonable for the amount and quality we were getting as well. For about $60.00 you can get a lot more variety elsewhere. I guess if you are craving Korean BBQ in Las Vegas, then this place would be your first choice, since it's also on the strip.	3	Ginseng Korean BBQ II	3
Ok - for airport food I'd give this place a solid 3 star. Overall good food. Definitely some of the best place I've eaten at in the Vegas airport. I had Pat's Pounder Platter and the meats were all tasty and the BBQ dusted green beans were surprisingly crispy. I had the BBQ sauce on the side and am glad I did as i found it very sweet. Granted I prefer heat over sweet.	3	Brookwood Farms BBQ	3
Love this place! Great ambience, friendly staff. The food is authentic and the portion is generous! I highly recommend everybody to come experience and you'll agree with me!!!!! :)	5	ChiAm Restaurant	3.5
Bite is clean! It was wonderful, tasty, wholesome food. The Guinness pancakes have bacon pieces IN them- Brilliant! The Special Omelet was creamy, yet fluffy. The service was promo and attentive even thought the place was packed. We rolled back out to the car full, and happy. Vegas!- help this place stay alive! Eat at Bite.	5	Bite Breakfast & Lunch	4.5
Big tasty servings :) Really quick and kind staff, specifically BreeAnnDa :) Super clean :) Everything I want in a dinning experience.	5	Egg & I	4.5
"This place is located conveniently in Planet Hollywood.  Everytime I attempted to go there was a line out the door.  Finally decided to bite the bullet and wait in line.  The wait was not as long as anticipated and once seated the restaurants design is awesome and entertaining.  

I had the earth burger and my bf had the farm burger.  Both were very good.  The menu is pretty small.  I was looking forward to maybe a fish burger but there was nothing to be found.  In any case the food was fantastic and I will be back."	4	Gordon Ramsay BurGR	4
"For the lunch menu...

Amazing! Delicious and authentic paella, gazpacho, and sangria. The service was very friendly and food was fast. 

Everything was very flavorful and we will definitely be coming back!"	5	Jaleo	3.5
One of the best dining experiences I've had. My group had a 6pm reservation and we were seated promptly. I ordered the kabuto omakase, and it was so filling and worth the $120. The waitress explained the origin of each fish. It was amazing! Will definitely come back next time I am in Las Vegas.	5	Kabuto	4.5
For the first time I went today to get some popusas they where delicious I order frijoles con queso with is beans with mozzarella cheese n their only .99¢ when u by more than 12. I would recommend you to go.	5	San Salvador Restaurant	3.5
Very bad service I would never come back they charge me $28.00 n gave me the wrong food they didn't have the curtesy of giving me the right order they just told me the they had a lot of order which it was not true they were just talking in the back n not taking the right order I was so pissed that I just left and they didn't even say that they were sorry or if I wanted my money back I would never go again very very bad customer service.	1	Rivas Mexican Grill #2	3.5
The food was terrible I order shimp with bacon n cheese n they were hard n didn't have a good taste n to let you know they don't clean the shimp at all you could get sick from this is  so disgusting. I would never go back and the service is terrible.	1	El Diamante Restaurant	3
I came for breakfast on Monday morning at around 10:30 and it was $20 per person. I would recommend coming around this time if you can because you pay the breakfast price and get to eat both breakfast and lunch! Sodas and juices are included in the price of the buffet as well. My favorite things that I tried were the roasted cauliflower, corn, and mango sorbet. Everything tasted pretty average and nothing really stood out to me taste wise. I personally liked the Wicked Spoon Buffet in the Cosmopolitan better but this buffet is definitely worth a try!	4	The Buffet	3.5
"We came here for dinner after watching KA. I was thinking about ordering the smaller 3 course meal but I decided to order the 4 course prix fixe meal because I wanted dessert. L'Atelier de Joel Robuchon is a more affordable version of the Joel Robuchon restaurant next door. My 4 course meal here was around $70. 

The bread basket was good. My favorite was this small round bread that tasted like a puff pastry croissant. The amuse bouche had mixed reviews at our table. Some thought it was inedible and it scared me to eat it but I didn't think it was too bad. It is warm pate with a texture like flan and some foam. 

The waiter was really nice and offered some helpful food recommendations. I ordered the Calamari, Broccoli and Bacon Soup, Duck, and Tarts. My sister ordered the Beef Cheek as her main course which was small but really tender. The Calamari and Broccoli and Bacon soup appetizers were interesting and yummy. I really liked the Duck as well. I was pretty stuffed by the third round so I wasn't able to finish my dessert! The dessert came with 5 tarts - chocolate, fruit, cinnamon, lemon, and snickers. All of them were delicious!"	4	L'Atelier de Joël Robuchon	4.5
This was my favorite buffet in Vegas and possibly ever! I came on a Saturday and the line was pretty long but it went by quickly. I paid around $70 for lunch not including tip for my sister and I. My favorite parts of the buffet were the Korean BBQ Beef Short Ribs, Pork Belly, Fried Chicken, Pizza, Garlic Bread, Gelato, and Desserts. Sodas and Juices are included in the price of the buffet as well. The food came in small individual sized portions so I was full and happy at the end of my meal and not too stuffed.	5	Wicked Spoon	3.5
"We came on a Sunday night before O and the view was beautiful! If you sit on the patio, you'll get a front row seat to the Fountains at Bellagio. We watched the sunset while the Fountains went off every half hour until 8 and then every 15 minutes after 8. I wasn't hungry and a little nauseous and there were only two options on the menu. The smaller of the two options had two appetizers, an entree and a dessert for $115. I wasn't feeling well or hungry enough to eat that much so I asked our waiter if I could just have a salad. Our meal came with an amuse bouche with potato soup and something fried, bread, and butter with Picasso printed on it. All the appetizers were yummy. The salad was expensive at $22 but it was good. 

My sister had the four course meal and I tried a little bite of everything and it was delicious! The courses were small. The fish appetizer with cauliflower mashed potatoes was buttery, flaky, and delicious. The pigeon was my favorite entree. I've had pigeon in Chinatown but this one was so much more flavorful and tender! The veal chop was fatty and delicious as well but I liked the pigeon better. The desserts tasted like your typical desserts. I didn't order a dessert but I had some birthday petite fours which were pretty tasty. The best part of this restaurant is the view and the Picasso art inside. The food is delicious but the price can be a little off-putting considering that the cheapest option on the menu for dinner was $115."	4	Picasso	4.5
I ordered the Nutella milkshake, Kobe beef burger on an onion bun with bacon, cheddar, and truffle mayo, and our table split the fried macaroni and cheese, fried zucchini, and onion rings. I don't know if I ordered wrong but my beef didn't have a lot of flavor. The fried macaroni and cheese was my favorite! The Nutella milkshake was pretty yummy as well. For the price and since there are so many other delicious dining options in Vegas, I would not recommend The Burger Bar. Our waiter however was very attentive and split our bill for us to include the shared fried foods we ordered which was pretty awesome!	3	Burger Bar	4
"Just ate lunch and signed up for Yelp to ""check in and get a free taco.""  As I had ordered the 3 taco combo I was told that they would just discount the drink for me that I was ordering as it would make my total cheaper! Thanks for looking out. 

Had 3 asada tacos that were very juicy and had great flavor; I had them in the corn tortilla shells and added crema, cilantro and salsa roja, the shells were a little burnt in appearance but not in taste however they did fall apart. For my sides I had rice that tasted great and chips which tasted like they were homemade. All in all a good meal and I will be coming back, probably going to go with flour tortillas next time though."	4	Saborr	4
I've past Griddlecakes for a long time now, and I'm glad I finally stopped in for breakfast.  The menu seemed a little limited, it's about the same price as Egg Works - and much better.  I had the Meat Lover's Scramble and loved it.  It's worth a try!  I'll be back.	4	Griddlecakes	3.5
It's mac and cheese. Not much else to say except I won't be going again. Very over-priced for just mac n cheese and if you add any meat, holy cow it gets expensive.  The Mac n cheese isn't even that good, certainly not as good as most regular restaurants that offer it as a side dish. I suppose my expectations were too high, but seriously I don't understand the concept.	2	Mac Shack Spring Valley	3.5
"Finally got around to trying this place after having living in Mtn's Edge for 1.5 years. Wish I had tried it sooner. Food was very good, family of servers were very polite and friendly. 

Pros: Food was very good, big portions. Food came out pretty quick, drinks always full. Staff was very friendly, you could tell there were a lot of regulars there because they were really buddy buddy with a few tables. It truly is family owned and family run, which is nice.

Cons: Terrible location, hard to find and not near anything. Inconsiderate jerk smokers right outside the front entrance when the door was open, made the whole place stink, I had to say something before they closed the door but the damage had already been done. Place is kind of small so I imagine there would be a long wait during busy times.

We will definitely be back since food and service were so good."	4	Our Families Country Cafe	4
"I've been to this locations dozens of times. Haven't been back in months because of the slow and horrific service provided every single time. And now I hate myself again.

I showed up with only 2 people ahead of me. Trash can overflowing, dirty tables everywhere and trash in the ground.

I'm not expecting Four Seasons treatment at a fast casual place, but can I get a hello and a smile? My god. They just stare and give nods instead of questions, put the wrong stuff on my order, despite very clear directions.

Then in the middle of order, there was some kind of molasses speed shift change. They had 20+ workers standing around chatting. Now a line of ten people forms behind me and I haven't moved. The new guy grabs my salad and starts loading it up with everything without asking. I had to start over. The workers are bumping each other, touching  everything, and joking around. 

Finally they try to get me to pay for someone else's meal, then try to over charge me. Just the worst.

I'd like to say I'll never be back. But in a few months I'll forget and be a glutton again. 

This place is the worst. Do not come here. Give your money to someone else until they fix their management problem which has been ongoing for years."	1	Cafe Rio	2.5
Food is always good. I always sit in the bar area and beware, it's always freezing. I like it cold but holy crap you shiver when you eat, even in the summer!	4	Chili's	2.5
This place is pretty awesome. A lot like the old Rally's I remember as a kid. Fries aren't quite as insanely good as I remember but the burgers are pretty good. But, be careful leaving the drive-thru! It's super narrow and has a sharp bend and there are tire rub marks all over that damn thing... and I clipped my rim... damn it...	4	Checker's	2
Awesome place with really nice people and great food.  They are always innovating and coming up with new dishes, most of which are fantastic. There have been a few duds but out of dozens and dozens of dishes I've tried, I've been very pleased. Everyone is always friendly and smiling, you can tell that their culture means a lot to them and it's awesome. The fountain drinks are some weird bottling company and taste funny, they should change that to a regular coke\/pepsi machine (preferably Coke with Coke Zero.) Definitely a little pricey for a "fast casual" type place, but the ingredients are always fresh and it's worth it.	5	SkinnyFATS	4.5
Great place.  Always fresh and always great service.  A lot of sushi places you get ignored or slow service, but not here.  If anything, they might check on you TOO much, if that's even possible.  Super friendly, lots of choices and every kind of roll, great AYCE.  Seriously can't go wrong with this place, it's always great.	5	Sumo Sushi 2	3.5
